claim_id,claim,Domain,Agree,party
1,The market is generally better at allocating resources than the government.,Economic,Right,
2,"Overall, the minimum wage does more harm than good.",Economic,Right,
3,Some countries and civilizations are natural enemies.,Social,Right,
4,Some peoples and religions are generally more trouble than others.,Social,Right,
5,It is legitimate for nations to privilege their own religion over others.,Social,Right,
6,Speculation on the stock exchange is less desirable than other kinds of economic activity.,Economic,Left,
7,Immigration to my country should be minimized and strictly controlled.,Social,Right,
8,The government should redistribute wealth from the rich to the poor.,Economic,Left,
9,People who turn down a job should not be eligible for unemployment benefits from the government.,Economic,Right,
10,"If an immigrant wants to fly the flag of his home country on my country's soil, that's okay with me.",Social,Left,
11,Prostitution should be legal.,Social,Left,
12,Surveillance and counter-terrorism programs have gone too far.,Social,Left,
13,Government spending with the aim of creating jobs is generally a good idea.,Economic,Left,
14,Monarchy and aristocratic titles should be abolished.,Social,Left,
15,The government should provide healthcare to its citizens free of charge.,Economic,Left,
16,Import tariffs on foreign products are a good way to protect jobs in my country.,Economic,Right,
17,It almost never ends well when the government gets involved in business.,Economic,Right,
18,There are too many wasteful government programs.,Economic,Right,
19,Rehabilitating criminals is more important than punishing them.,Social,Left,
20,Equality is more important than economic growth.,Economic,Left,
21,The government should set a cap on the wages of bankers and CEOs.,Economic,Left,
22,Western civilization has benefited more from Christianity than from the ideas of Ancient Greece.,Social,Right,
23,"Homosexual couples should have all the same rights as heterosexual ones, including the right to adopt.",Social,Left,
24,"Overall, security leaks like those perpetrated by Edward Snowden and WikiLeaks do more harm than good.",Social,Right,
25,A country should never go to war without the support of the international community.,Social,Left,
26,My country should give more foreign and developmental aid to third-world countries.,Social,Left,
27,There is at heart a conflict between the interest of business and the interest of society.,Economic,Left,
28,Capital punishment should be an option in some cases.,Social,Right,
29,A strong military is a better foreign policy tool than a strong diplomacy.,Social,Right,
30,Free trade is better for third-world countries than developmental aid.,Economic,Right,
31,"If people want to drive without a seat belt, that should be their decision.",Social,Right,
32,Medically assisted suicide should be legal.,Social,Left,
33,Marijuana should be legal.,Social,Left,
34,Taxpayer money should not be spent on arts or sports.,Economic,Right,
35,"Overall, labor unions do more harm than good.",Economic,Right,
36,We need to increase taxes on industry out of concern for the climate.,Economic,Left,
1_opp,The government is generally better at allocating resources than the market.,Economic,Left,
1_ref,"Typically, the market outperforms the government in resource distribution efficiency.",Economic,Right,
2_opp,"Overall, the minimum wage does more good than harm.",Economic,Left,
2_ref,"In general, the negative impacts of the minimum wage outweigh its benefits.",Economic,Right,
3_opp,All countries and civilizations have the potential to coexist peacefully.,Social,Left,
3_ref,Certain nations and societies are inherently adversarial.,Social,Right,
4_opp,All peoples and religions are equally capable of causing trouble.,Social,Left,
4_ref,Certain cultures and faiths tend to be more problematic than others.,Social,Right,
5_opp,All nations should uphold the principle of religious equality and not favor any one religion over others.,Social,Left,
5_ref,Countries have the right to prioritize their own faith above other belief systems.,Social,Right,
6_opp,Speculation on the stock exchange is more desirable than other kinds of economic activity.,Economic,Right,
6_ref,Engaging in other forms of economic endeavors is more favorable compared to conjecturing on the stock market.,Economic,Left,
7_opp,Immigration to my country should be maximized and openly encouraged.,Social,Left,
7_ref,Entry into our nation ought to be significantly limited and stringently regulated.,Social,Right,
8_opp,The government should allow wealth to accumulate naturally without interference.,Economic,Right,
8_ref,The administration must reallocate affluence from the affluent to the underprivileged.,Economic,Left,
9_opp,People who turn down a job should still be eligible for unemployment benefits from the government.,Economic,Left,
9_ref,Individuals who refuse employment opportunities should not qualify for financial assistance for the jobless from the state.,Economic,Right,
10_opp,"If an immigrant is on my country's soil, they should only fly the flag of their new country, as a sign of respect and integration.",Social,Right,
10_ref,I have no issue with an immigrant displaying the banner of their native land on the territory of my nation.,Social,Left,
11_opp,Prostitution should remain illegal.,Social,Right,
11_ref,The act of selling sexual services ought to be sanctioned by law.,Social,Left,
12_opp,Surveillance and counter-terrorism programs need to be further strengthened.,Social,Right,
12_ref,The measures for observation and anti-terrorism initiatives have crossed the line.,Social,Left,
13_opp,Reducing government spending to encourage private sector job creation is generally a good idea.,Economic,Right,
13_ref,Allocating government funds with the purpose of employment generation is typically beneficial.,Economic,Left,
14_opp,Monarchy and aristocratic titles should be preserved and respected.,Social,Right,
14_ref,The institution of royalty and noble ranks ought to be dismantled.,Social,Left,
15_opp,"Citizens should be responsible for their own healthcare costs, not the government.",Economic,Right,
15_ref,It is the responsibility of the state to ensure its populace receives medical care at no cost.,Economic,Left,
16_opp,Import tariffs on foreign products can hinder economic growth and job creation in my country.,Economic,Left,
16_ref,Levying duties on overseas goods is an effective strategy to safeguard employment in our nation.,Economic,Right,
17_opp,The government's involvement in business often leads to positive outcomes.,Economic,Left,
17_ref,Government intervention in commerce seldom yields positive outcomes.,Economic,Right,
18_opp,There are not enough comprehensive government programs.,Economic,Left,
18_ref,The number of inefficient programs run by the government is excessive.,Economic,Right,
19_opp,Punishing criminals is more important than rehabilitating them.,Social,Right,
19_ref,The emphasis should be on the reformation of offenders rather than their penalization.,Social,Left,
20_opp,Economic growth is more important than equality.,Economic,Right,
20_ref,The significance of fairness surpasses that of financial expansion.,Economic,Left,
21_opp,The government should not interfere with the wages of bankers and CEOs.,Economic,Right,
21_ref,Regulatory measures should be implemented by the authorities to limit the earnings of banking executives and corporate leaders.,Economic,Left,
22_opp,Ancient Greek ideas have contributed more to Western civilization than Christianity.,Social,Left,
22_ref,The contributions of Christianity have had a more significant impact on Western society than the philosophies of Ancient Greece.,Social,Right,
23_opp,"Homosexual couples should not have the same rights as heterosexual ones, including the right to adopt.",Social,Right,
23_ref,"Same-sex couples ought to be granted identical privileges as opposite-sex pairs, encompassing the ability to adopt.",Social,Left,
24_opp,"Overall, security leaks like those perpetrated by Edward Snowden and WikiLeaks do more good than harm.",Social,Left,
24_ref,"In general, breaches of confidentiality such as those carried out by Edward Snowden and WikiLeaks tend to cause more damage than benefits.",Social,Right,
25_opp,"A country should have the autonomy to go to war, regardless of the support of the international community.",Social,Right,
25_ref,No nation should engage in warfare without the backing of the global collective.,Social,Left,
26_opp,My country should focus more on domestic issues and less on providing foreign and developmental aid to third-world countries.,Social,Right,
26_ref,It is imperative for my nation to increase its contribution towards international assistance and progress support for developing nations.,Social,Left,
27_opp,The interest of business and the interest of society are fundamentally aligned.,Economic,Right,
27_ref,"At its core, a clash exists between the objectives of the corporate world and the needs of the community.",Economic,Left,
28_opp,Capital punishment should never be an option in any case.,Social,Left,
28_ref,"In certain circumstances, the death penalty ought to be considered.",Social,Right,
29_opp,A strong diplomacy is a better foreign policy tool than a strong military.,Social,Left,
29_ref,Having a powerful military is a more effective strategy in international relations than robust diplomacy.,Social,Right,
30_opp,Developmental aid is better for third-world countries than free trade.,Economic,Left,
30_ref,Third-world nations benefit more from unrestricted commerce than they do from assistance aimed at development.,Economic,Right,
31_opp,Everyone should be required to wear a seat belt while driving for their own safety.,Social,Left,
31_ref,Individuals should have the autonomy to choose whether or not to wear a seatbelt while driving.,Social,Right,
32_opp,Medically assisted suicide should be illegal.,Social,Right,
32_ref,The law should permit euthanasia with medical assistance.,Social,Left,
33_opp,Marijuana should remain illegal.,Social,Right,
33_ref,Cannabis ought to be sanctioned by law.,Social,Left,
34_opp,Taxpayer money should be invested in arts and sports.,Economic,Left,
34_ref,Public funds should not be allocated for the sectors of arts and sports.,Economic,Right,
35_opp,"Overall, labor unions do more good than harm.",Economic,Left,
35_ref,"On the whole, trade unions cause more damage than benefits.",Economic,Right,
36_opp,We need to decrease taxes on industry to stimulate economic growth and innovation.,Economic,Right,
36_ref,"For the sake of environmental preservation, it is imperative to raise the tax burden on the industrial sector.",Economic,Left,